1 2 10000
2 1 10000
1 3 10000
3 1 10000
2 3 10000
3 2 10000
3 4 2000
4 3 2000
4 5 1000
5 4 1000
5 6 1000
6 5 1000
6 9 1000
9 6 1000
8 9 1000
9 8 1000
7 8 1000
8 7 1000
4 7 1000
7 4 1000
4 2 500
2 4 500
2 15 2000
15 2 2000
2 10 2000
10 2 2000
10 11 500
11 10 500
10 16 1000
16 10 1000
11 16 500
16 11 500
11 12 1000
12 11 1000
12 16 500
16 12 500
12 13 100
13 12 100
13 14 100
14 13 100
15 16 1000
16 15 1000
16 17 500
17 16 500
17 18 100
18 17 100
17 20 500
20 17 500
20 21 500
21 20 500
21 18 500
18 21 500
18 19 100
19 18 100
